,Address,Sold,Sold Date,Bed,Bath,Size,Lot Size,HOA,Year Build,Type
0,"40200 Antigua Rose Ter,FREMONT, CA 94538","$1,375,000","SEP 24, 2021",4,4.5,"1,917","2,127 Sq. Ft.",0,2008,Townhouse
1,"4777 Canvasback Cmn,Fremont, CA 94555","$1,400,000","SEP 16, 2021",3,2.5,"1,607","2,826 Sq. Ft.",0,1988,Single Family Residential
2,"2861 Pinnacles Ter,Fremont, CA 94538","$1,330,000","SEP 10, 2021",4,3.5,"2,093","1,768 Sq. Ft.",0,2013,Single Family Residential
3,"4022 Abbey Ter #104,Fremont, CA 94536","$549,000","SEP 8, 2021",2,1,748,0,0,1986,Condo/Co-op
4,"5696 Pandorea Ter,NEWARK, CA 94560","$1,094,000","SEP 1, 2021",3,3.5,"1,925","1,384 Sq. Ft.",0,2017,Townhouse
5,"38047 Miller Pl,FREMONT, CA 94536","$1,200,000","AUG 25, 2021",3,2,"1,389","4,200 Sq. Ft.",0,1973,Single Family Residential
6,"5417 Diana Cmn,FREMONT, CA 94555","$1,300,000","AUG 23, 2021",3,2.5,"1,446","6,455 Sq. Ft.",0,1989,Single Family Residential
7,"38780 Tyson Ln Unit 105C,Fremont, CA 94536","$515,000","AUG 17, 2021",1,1,870,0,0,1982,Condo/Co-op
8,"3966 Lake Tahoe Ter,Fremont, CA 94555","$670,000","AUG 10, 2021",2,1.5,"1,056",960 Sq. Ft.,0,1971,Townhouse
9,"43876 Paso Pino Cmn,FREMONT, CA 94539","$1,280,000","AUG 9, 2021",4,3.5,"1,842","8,300 Sq. Ft.",0,2012,Condo/Co-op
10,"33035 Lake Erie St,FREMONT, CA 94555","$935,000","AUG 9, 2021",3,2,"1,148","3,189 Sq. Ft.",0,1970,Single Family Residential
11,"33892 Abercrombie Pl,Fremont, CA 94555","$2,773,888","AUG 4, 2021",6,4,"3,905","9,899 Sq. Ft.",0,1976,Single Family Residential
12,"34160 Via Lucca,Fremont, CA 94555","$1,065,000","AUG 4, 2021",3,3.5,"1,481",0,0,2007,Condo/Co-op
13,"180 Yampa Way,FREMONT, CA 94539","$1,800,000","JUL 30, 2021",4,2.5,"1,992","6,871 Sq. Ft.",0,1978,Single Family Residential
14,"4893 Deep Creek Rd,FREMONT, CA 94555","$1,410,000","JUL 19, 2021",3,2,"1,301","4,500 Sq. Ft.",0,1986,Single Family Residential
15,"35955 Killorglin,FREMONT, CA 94536","$1,450,000","JUL 16, 2021",4,2.5,"1,824","3,050 Sq. Ft.",0,1988,Single Family Residential
16,"37280 Spruce Ter,Fremont, CA 94536","$490,000","JUL 14, 2021",2,1,750,0,0,1986,Condo/Co-op
17,"38623 Cherry Ln #157,FREMONT, CA 94536","$540,000","JUL 8, 2021",2,1,789,0,0,1974,Condo/Co-op
18,"3992 Harlequin Ter,Fremont, CA 94555","$1,530,000","JUL 7, 2021",4,2.5,"1,855","5,537 Sq. Ft.",0,1991,Single Family Residential
19,"42758 Charleston Way,FREMONT, CA 94538","$1,220,000","JUL 6, 2021",3,2,"1,151","5,300 Sq. Ft.",0,1958,Single Family Residential
20,"45009 Challenge Cmn #300,FREMONT, CA 94538","$900,000","JUN 28, 2021",2,2,"1,279",0,0,2020,Condo/Co-op
21,"37000 Meadowbrook Cmn #101,FREMONT, CA 94536","$630,000","JUN 22, 2021",2,2,"1,083",0,0,1984,Condo/Co-op
22,"1701 Sioux Dr,FREMONT, CA 94539","$2,670,000","JUN 11, 2021",5,3,"2,614",0.29 Acres,0,1978,Single Family Residential
23,"4444 Faulkner Dr,Fremont, CA 94536","$1,528,000","JUN 11, 2021",3,2,"1,544","8,691 Sq. Ft.",0,1965,Single Family Residential
24,"38618 Royal Ann Cmn,Fremont, CA 94536","$710,000","MAY 27, 2021",3,2,"1,180","1,020 Sq. Ft.",0,1971,Townhouse
25,"33009 Lake Wawasee,FREMONT, CA 94555","$1,080,000","MAY 21, 2021",3,2,"1,148","3,120 Sq. Ft.",0,1971,Single Family Residential
26,"34843 Wabash Riv,Fremont, CA 94555","$1,420,000","MAY 20, 2021",3,2,"1,300","6,208 Sq. Ft.",0,1975,Single Family Residential
27,"977 Avila Terraza Unit 5R,FREMONT, CA 94538","$735,000","MAY 20, 2021",2,2,"1,102",0,0,2001,Condo/Co-op
28,"45138 Rutherford Ter,Fremont, CA 94539","$4,550,000","MAY 17, 2021",5,5.5,"5,959",0.50 Acres,0,1995,Single Family Residential
29,"48720 Taos Rd,Fremont, CA 94539","$1,685,000","MAY 17, 2021",4,2.5,"1,787","6,660 Sq. Ft.",0,1978,Single Family Residential
30,"39152 Guardino Dr #105,Fremont, CA 94538","$449,000","MAY 4, 2021",1,1,693,0,0,1990,Condo/Co-op
31,"33153 Lake Garrison St,Fremont, CA 94555","$980,000","APR 30, 2021",2,1,880,"4,969 Sq. Ft.",0,1969,Single Family Residential
