RegionID,RegionName,SizeRank,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08
102001,United States,0,1336,1347,1348,1356,1369,1380,1389,1395,1396,1396,1396,1396,1401,1409,1417,1429,1438,1447,1453,1458,1458,1460,1460,1461,1466,1473,1482,1491,1500,1507,1509,1512,1512,1511,1510,1509,1513,1520,1528,1538,1547,1554,1560,1562,1561,1560,1560,1561,1565,1571,1579,1588,1598,1607,1613,1616,1617,1617,1618,1619,1623,1630,1638,1648,1659,1668,1673,1675,1675,1674,1673,1675,1681,1689,1694,1687,1683,1684,1685,1681,1679,1679,1685,1690,1694,1699,1715,1741,1772,1806,1843,1874
394913,"New York, NY",1,2257,2285,2293,2298,2331,2348,2366,2374,2377,2375,2379,2372,2381,2395,2410,2440,2451,2463,2470,2478,2486,2488,2481,2479,2481,2489,2492,2509,2522,2535,2522,2532,2538,2532,2530,2522,2519,2524,2536,2551,2567,2574,2582,2579,2587,2576,2557,2559,2553,2554,2564,2578,2592,2606,2618,2623,2623,2615,2607,2604,2605,2613,2628,2638,2664,2683,2690,2691,2684,2676,2663,2651,2659,2680,2683,2670,2655,2635,2602,2541,2485,2448,2431,2426,2430,2434,2455,2492,2538,2587,2648,2693
753899,"Los Angeles-Long Beach-Anaheim, CA",2,1788,1816,1805,1812,1835,1854,1872,1887,1896,1901,1901,1905,1918,1928,1944,1957,1967,1980,1995,2007,2015,2025,2033,2037,2049,2067,2078,2086,2103,2117,2122,2133,2140,2146,2147,2152,2164,2176,2188,2203,2218,2225,2239,2246,2251,2252,2257,2256,2267,2276,2284,2296,2306,2319,2327,2339,2344,2350,2358,2362,2366,2372,2379,2390,2399,2410,2420,2427,2432,2431,2436,2445,2449,2454,2453,2432,2418,2416,2412,2405,2409,2419,2427,2423,2420,2428,2440,2464,2494,2537,2579,2630
394463,"Chicago, IL",3,1400,1412,1414,1418,1433,1447,1455,1458,1452,1448,1447,1445,1448,1453,1443,1453,1472,1490,1499,1506,1501,1493,1485,1485,1493,1502,1511,1523,1535,1544,1550,1550,1542,1530,1522,1518,1518,1533,1545,1558,1570,1577,1579,1576,1568,1560,1554,1554,1557,1565,1577,1586,1597,1606,1609,1607,1600,1589,1587,1584,1592,1600,1613,1626,1636,1646,1651,1650,1646,1639,1629,1629,1638,1648,1655,1653,1652,1650,1646,1635,1618,1600,1592,1590,1594,1594,1614,1639,1663,1686,1705,1721
394514,"Dallas-Fort Worth, TX",4,1130,1158,1163,1179,1174,1177,1181,1184,1188,1185,1182,1185,1189,1195,1207,1217,1227,1234,1240,1244,1241,1240,1239,1241,1246,1251,1266,1276,1286,1295,1302,1303,1304,1305,1306,1306,1309,1315,1324,1330,1342,1350,1354,1358,1358,1360,1357,1357,1361,1368,1371,1379,1383,1392,1398,1402,1399,1403,1407,1404,1408,1417,1421,1431,1440,1447,1453,1453,1456,1454,1453,1450,1454,1461,1468,1462,1458,1462,1466,1466,1471,1478,1480,1485,1490,1498,1512,1538,1569,1608,1651,1684
394974,"Philadelphia, PA",5,1346,1312,1333,1336,1345,1356,1361,1366,1370,1364,1361,1349,1352,1355,1367,1378,1390,1396,1398,1399,1398,1394,1395,1394,1399,1404,1413,1422,1430,1436,1442,1436,1434,1431,1433,1431,1433,1438,1448,1455,1461,1463,1466,1467,1464,1464,1469,1470,1466,1472,1482,1492,1502,1506,1507,1509,1511,1512,1511,1515,1520,1526,1533,1540,1547,1556,1559,1560,1560,1563,1562,1560,1564,1576,1581,1573,1577,1579,1579,1581,1583,1584,1587,1594,1595,1594,1606,1623,1641,1660,1679,1705
394692,"Houston, TX",6,1177,1206,1195,1203,1228,1242,1255,1263,1263,1267,1263,1261,1266,1269,1275,1286,1293,1300,1305,1307,1303,1299,1299,1298,1297,1304,1311,1310,1310,1313,1311,1307,1303,1301,1294,1290,1289,1292,1299,1302,1309,1311,1311,1311,1316,1326,1333,1337,1339,1342,1347,1352,1356,1360,1364,1362,1362,1359,1363,1358,1358,1360,1366,1372,1379,1386,1388,1386,1384,1383,1380,1384,1387,1389,1395,1386,1379,1378,1377,1376,1381,1384,1386,1388,1388,1385,1396,1410,1438,1471,1502,1519
395209,"Washington, DC",7,1779,1820,1807,1807,1819,1833,1843,1848,1850,1838,1830,1818,1824,1832,1833,1847,1853,1863,1867,1865,1860,1864,1858,1860,1861,1867,1877,1884,1893,1903,1886,1896,1893,1890,1885,1884,1891,1896,1902,1918,1928,1933,1935,1936,1933,1924,1913,1911,1913,1920,1926,1942,1953,1966,1974,1977,1972,1967,1966,1965,1972,1982,1989,2003,2015,2026,2031,2033,2034,2026,2020,2018,2024,2031,2038,2031,2021,2018,2013,2002,1986,1972,1960,1951,1952,1953,1963,1988,2019,2056,2092,2125
394856,"Miami-Fort Lauderdale, FL",8,1576,1585,1585,1586,1599,1606,1623,1630,1643,1649,1657,1661,1666,1678,1680,1683,1695,1708,1711,1724,1735,1746,1755,1761,1764,1771,1777,1774,1778,1779,1780,1786,1789,1790,1797,1794,1800,1803,1807,1806,1807,1813,1818,1825,1831,1840,1840,1842,1847,1848,1851,1852,1857,1863,1869,1877,1885,1892,1897,1900,1899,1900,1905,1908,1909,1911,1917,1923,1927,1939,1947,1957,1958,1963,1959,1952,1941,1942,1945,1950,1960,1977,1992,2005,2011,2030,2057,2097,2147,2207,2274,2343
394347,"Atlanta, GA",9,1077,1089,1089,1098,1104,1110,1116,1120,1118,1119,1121,1124,1126,1132,1139,1149,1161,1172,1179,1180,1177,1178,1179,1181,1186,1195,1208,1216,1227,1238,1246,1249,1252,1257,1255,1254,1257,1264,1273,1282,1294,1304,1315,1321,1325,1323,1322,1324,1329,1336,1347,1356,1369,1378,1386,1392,1397,1402,1405,1409,1418,1422,1432,1443,1452,1462,1468,1472,1477,1475,1473,1474,1479,1487,1495,1490,1489,1496,1506,1518,1528,1540,1546,1557,1572,1591,1615,1645,1677,1723,1773,1827
394404,"Boston, MA",10,2036,2053,2055,2049,2065,2084,2098,2107,2101,2093,2077,2062,2074,2097,2119,2133,2153,2170,2173,2169,2163,2156,2145,2145,2172,2197,2212,2226,2246,2259,2259,2263,2251,2238,2221,2228,2257,2279,2289,2307,2319,2328,2336,2331,2320,2296,2295,2299,2322,2336,2353,2369,2383,2396,2400,2393,2375,2370,2367,2378,2398,2408,2426,2445,2463,2480,2478,2474,2460,2447,2443,2451,2470,2488,2501,2491,2480,2471,2448,2395,2354,2317,2309,2319,2346,2364,2383,2415,2448,2486,2515,2532
