,Date,"San Jose, CA","Seattle, WA","Los Angeles, CA","New York, NY"
1,2021-06,1324908.0,918484.0,931706.0,708601.0
2,2021-05,1280201.0,897735.0,907638.0,705012.0
3,2021-04,1235287.0,871752.0,888135.0,700669.0
4,2021-03,1211002.0,858692.0,872282.0,697843.0
5,2021-02,1238981.0,873374.0,875010.0,694141.0
6,2021-01,1220718.0,873650.0,863334.0,691542.0
7,2020-12,1200507.0,865762.0,852506.0,690714.0
8,2020-11,1175909.0,863639.0,834127.0,685644.0
9,2020-10,1141577.0,851565.0,825254.0,680522.0
10,2020-09,1122812.0,839137.0,812668.0,676000.0
11,2020-08,1085425.0,815199.0,801258.0,630648.0
12,2020-07,1069204.0,802977.0,783217.0,628995.0
13,2020-06,1082401.0,811402.0,783918.0,675490.0
14,2020-05,1085561.0,806686.0,778109.0,676147.0
15,2020-04,1074703.0,802962.0,789989.0,672261.0
16,2020-03,1068942.0,797800.0,785793.0,671601.0
17,2020-02,1057397.0,793513.0,780205.0,671719.0
18,2020-01,1046264.0,789403.0,774078.0,671526.0
19,2019-12,1034380.0,784168.0,770182.0,671253.0
20,2019-11,1027883.0,778804.0,766002.0,671450.0
21,2019-10,1024151.0,775451.0,763224.0,672209.0
22,2019-09,1020573.0,775207.0,759513.0,672936.0
23,2019-08,1016578.0,774434.0,756565.0,673680.0
24,2019-07,1019940.0,773957.0,754338.0,674568.0
25,2019-06,1028759.0,772505.0,750610.0,674618.0
26,2019-05,1034162.0,773359.0,745174.0,675631.0
27,2019-04,1037922.0,773900.0,741438.0,675886.0
28,2019-03,1041984.0,778859.0,743257.0,676550.0
29,2019-02,1058246.0,784829.0,747366.0,676311.0
30,2019-01,1078294.0,792294.0,751565.0,675622.0
31,2018-12,1100092.0,799373.0,752583.0,674403.0
32,2018-11,1115642.0,806946.0,753504.0,672414.0
33,2018-10,1126581.0,810443.0,752473.0,669926.0
34,2018-09,1139034.0,810747.0,751451.0,667696.0
35,2018-08,1149580.0,810536.0,749415.0,664915.0
36,2018-07,1152730.0,813546.0,746931.0,662067.0
37,2018-06,1136293.0,817113.0,742703.0,658724.0
38,2018-05,1119319.0,816802.0,739671.0,655087.0
39,2018-04,1098951.0,813079.0,736241.0,651027.0
40,2018-03,1083463.0,804866.0,731070.0,646644.0
41,2018-02,1062264.0,792828.0,724943.0,641928.0
42,2018-01,1039477.0,779634.0,719285.0,638068.0
