Period,LosAngeles,NewYor000City,SanFrancisco,Seattle
2014/1/15,401000 ,213000 ,950000 ,294000 
2014/2/15,453000 ,212000 ,939000 ,317000 
2014/3/15,450000 ,217000 ,979000 ,280000 
2014/4/15,439000 ,205000 ,905000 ,291000 
2014/5/15,443000 ,214000 ,925000 ,330000 
2014/6/15,430000 ,239000 ,925000 ,308000 
2014/7/15,451000 ,245000 ,900000 ,289000 
2014/8/15,463000 ,245000 ,899000 ,309000 
2014/9/15,451000 ,240000 ,938000 ,285000 
2014/10/15,470000 ,241000 ,950000 ,299000 
2014/11/15,455000 ,242000 ,990000 ,293000 
2014/12/15,443000 ,224000 ,877000 ,297000 
2015/1/15,453000 ,243000 ,883000 ,307000 
2015/2/15,430000 ,234000 ,1125000 ,309000 
2015/3/15,469000 ,226000 ,1099000 ,317000 
2015/4/15,455000 ,231000 ,1038000 ,330000 
2015/5/15,458000 ,214000 ,1150000 ,329000 
2015/6/15,495000 ,248000 ,1100000 ,342000 
2015/7/15,465000 ,220000 ,1095000 ,414000 
2015/8/15,460000 ,233000 ,1050000 ,428000 
2015/9/15,465000 ,215000 ,1020000 ,380000 
2015/10/15,471000 ,222000 ,1088000 ,353000 
2015/11/15,490000 ,216000 ,1110000 ,343000 
2015/12/15,490000 ,218000 ,1090000 ,340000 
2016/1/15,470000 ,210000 ,1083000 ,356000 
2016/2/15,513000 ,216000 ,1105000 ,377000 
2016/3/15,487000 ,208000 ,1098000 ,380000 
2016/4/15,501000 ,226000 ,1150000 ,379000 
2016/5/15,508000 ,634000 ,1050000 ,363000 
2016/6/15,515000 ,604000 ,1138000 ,440000 
2016/7/15,515000 ,618000 ,1030000 ,470000 
2016/8/15,520000 ,557000 ,1060000 ,439000 
2016/9/15,499000 ,565000 ,1028000 ,490000 
2016/10/15,500000 ,608000 ,1122000 ,415000 
2016/11/15,505000 ,584000 ,1025000 ,389000 
2016/12/15,486000 ,629000 ,1002000 ,433000 
2017/1/15,458000 ,649000 ,945000 ,440000 
2017/2/15,531000 ,628000 ,1205000 ,445000 
2017/3/15,530000 ,657000 ,1109000 ,436000 
2017/4/15,525000 ,727000 ,1100000 ,434000 
2017/5/15,555000 ,696000 ,1150000 ,441000 
2017/6/15,547000 ,741000 ,1100000 ,455000 
2017/7/15,535000 ,705000 ,1100000 ,447000 
2017/8/15,515000 ,686000 ,1100000 ,470000 
2017/9/15,550000 ,652000 ,1065000 ,455000 
2017/10/15,530000 ,601000 ,1150000 ,455000 
2017/11/15,600000 ,625000 ,1210000 ,450000 
2017/12/15,560000 ,686000 ,1120000 ,517000 
2018/1/15,525000 ,628000 ,1045000 ,476000 
2018/2/15,562000 ,649000 ,1070000 ,530000 
2018/3/15,585000 ,661000 ,1205000 ,531000 
2018/4/15,565000 ,694000 ,1250000 ,535000 
2018/5/15,563000 ,682000 ,1235000 ,550000 
2018/6/15,585000 ,654000 ,1150000 ,525000 
2018/7/15,595000 ,704000 ,1101000 ,508000 
2018/8/15,600000 ,625000 ,1225000 ,542000 
2018/9/15,553000 ,622000 ,1180000 ,501000 
2018/10/15,582000 ,594000 ,1200000 ,495000 
2018/11/15,580000 ,587000 ,1200000 ,496000 
2018/12/15,562000 ,627000 ,1158000 ,505000 
2019/1/15,575000 ,558000 ,1055000 ,450000 
2019/2/15,536000 ,653000 ,1090000 ,425000 
2019/3/15,552000 ,649000 ,1201000 ,480000 
2019/4/15,560000 ,705000 ,1206000 ,485000 
2019/5/15,569000 ,706000 ,1249000 ,481000 
2019/6/15,576000 ,919000 ,1299000 ,492000 
2019/7/15,568000 ,595000 ,1249000 ,440000 
2019/8/15,565000 ,652000 ,1217000 ,450000 
2019/9/15,585000 ,625000 ,1328000 ,449000 
2019/10/15,575000 ,578000 ,1301000 ,450000 
2019/11/15,549000 ,561000 ,1180000 ,450000 
2019/12/15,555000 ,646000 ,1195000 ,460000 
2020/1/15,580000 ,637000 ,1156000 ,461000 
2020/2/15,565000 ,654000 ,1260000 ,480000 
2020/3/15,578000 ,665000 ,1260000 ,500000 
2020/4/15,615000 ,722000 ,1275000 ,500000 
2020/5/15,544000 ,600000 ,1072000 ,500000 
2020/6/15,550000 ,572000 ,1180000 ,445000 
2020/7/15,585000 ,611000 ,1250000 ,480000 
2020/8/15,600000 ,548000 ,1205000 ,480000 
2020/9/15,600000 ,543000 ,1179000 ,475000 
2020/10/15,576000 ,589000 ,1150000 ,485000 
2020/11/15,556000 ,582000 ,1161000 ,449000 
2020/12/15,605000 ,618000 ,1080000 ,430000 
2021/1/15,575000 ,620000 ,1050000 ,470000 
2021/2/15,590000 ,601000 ,1230000 ,465000 
2021/3/15,612000 ,699000 ,1190000 ,470000 
2021/4/15,632000 ,701000 ,1200000 ,475000 
2021/5/15,638000 ,736000 ,1175000 ,475000 
2021/6/15,636000 ,747000 ,1250000 ,496000 
2021/7/15,637000 ,749000 ,1204000 ,475000 
2021/8/15,625000 ,731000 ,1150000 ,490000 
