,Address,Sold,Sold Date,Bed,Bath,Size,Lot Size,HOA,Year Build,Type
1,"62 Shaniko Cmn,Fremont, CA 94539","$800,000","OCT 1, 2021",3,2,"1,150",0,$310,1987,Condo/Co-op
2,"45552 Cheyenne Pl,Fremont, CA 94539","$1,880,000","OCT 1, 2021",4,2,"1,531","6,300 Sq. Ft.",0,1969,Single Family Residential
3,"1201 Valdez Way,FREMONT, CA 94539","$1,800,000","OCT 1, 2021",3,2,"1,956","6,600 Sq. Ft.",0,1971,Single Family Residential
4,"39762 Blacow Rd,Fremont, CA 94538","$1,150,000","OCT 1, 2021",3,2,"1,585","6,400 Sq. Ft.",0,1961,Single Family Residential
5,"4405 Calypso Ter,Fremont, CA 94555","$1,530,000","OCT 1, 2021",4,2.5,"1,811","5,202 Sq. Ft.",$50,1992,Single Family Residential
6,"35211 Santiago St,Fremont, CA 94536","$1,430,000","OCT 1, 2021",3,2,"1,256","5,700 Sq. Ft.",0,1965,Single Family Residential
7,"47562 Minaret Falls Ter,Fremont, CA 94539","$1,669,990","SEP 30, 2021",3,3.5,"2,260","3,544 Sq. Ft.",$288,—,Vacant Land
8,"168 Staircase Falls Cmn,Fremont, CA 94539","$1,629,990","SEP 30, 2021",3,3.5,"2,029","3,375 Sq. Ft.",$288,—,Vacant Land
9,"196 Carson Falls Ter,Fremont, CA 94539","$800,000","SEP 30, 2021",2,2.5,"1,496",0,$500,—,Multi-Family (2-4 Unit)
10,"38781 Stonington Ter,FREMONT, CA 94536","$1,156,000","SEP 30, 2021",2,2,"1,001","3,385 Sq. Ft.",$88,1987,Single Family Residential
11,"2401 Corriea Way,FREMONT, CA 94539","$1,484,000","SEP 30, 2021",3,2,"1,386","3,984 Sq. Ft.",$40,1972,Single Family Residential
12,"2500 Tassajara Ter,Fremont, CA 94538","$1,155,000","SEP 30, 2021",3,3,"1,712","1,616 Sq. Ft.",$149,2014,Single Family Residential
13,"35451 Cabrillo Dr,Fremont, CA 94551","$1,461,000","SEP 30, 2021",3,2,"1,387","6,000 Sq. Ft.",0,1967,Single Family Residential
14,"5157 Waller Ave,Fremont, CA 94536","$1,500,000","SEP 30, 2021",3,2,"1,384","7,000 Sq. Ft.",$21,1962,Single Family Residential
15,"1750 Radiance Cmn Unit 301 F9,Fremont, CA 94539","$1,379,995","SEP 29, 2021",3,2.5,"1,847",0,$570,—,Condo/Co-op
16,"701 Boar Cir,Fremont, CA 94539","$2,890,000","SEP 29, 2021",5,3,"2,743","10,400 Sq. Ft.",$85,1990,Single Family Residential
17,"4649 Victoria Park Ct,FREMONT, CA 94538","$1,600,000","SEP 29, 2021",4,3,"2,122","7,332 Sq. Ft.",0,1965,Single Family Residential
18,"38775 Crane Ter,FREMONT, CA 94536","$1,020,000","SEP 29, 2021",3,2.5,"1,438",1 Acre,$365,1985,Townhouse
19,"40829 Raduno Ter,FREMONT, CA 94538","$1,199,888","SEP 29, 2021",3,3.5,"1,824","1,302 Sq. Ft.",$392,—,Single Family Residential
20,"4159 Converse St,Fremont, CA 94538","$1,350,000","SEP 28, 2021",3,2,"1,092","6,903 Sq. Ft.",0,1956,Single Family Residential
21,"35971 Bronze St,Union City, CA 94587","$1,915,000","SEP 28, 2021",5,3,"3,162","7,089 Sq. Ft.",0,2005,Single Family Residential
22,"4896 Omar St,FREMONT, CA 94538","$1,405,000","SEP 27, 2021",3,2,"1,347","6,100 Sq. Ft.",0,1962,Single Family Residential
23,"34924 Belvedere Ter,FREMONT, CA 94555","$1,020,000","SEP 27, 2021",3,2.5,"1,555","3,080 Sq. Ft.",$220,1985,Townhouse
24,"40200 Antigua Rose Ter,FREMONT, CA 94538","$1,375,000","SEP 24, 2021",4,4.5,"1,917","2,127 Sq. Ft.",$121,2008,Townhouse
25,"3695 Stevenson Blvd Unit E307,Fremont, CA 94538","$675,000","SEP 24, 2021",2,2,"1,040",0,$370,1991,Condo/Co-op
26,"5376 Brophy Dr,Fremont, CA 94536","$2,000,000","SEP 24, 2021",4,3,"2,189","7,875 Sq. Ft.",$21,1963,Single Family Residential
27,"36158 SAN PEDRO Dr,Fremont, CA 94536","$960,000","SEP 24, 2021",3,2,"1,148","7,120 Sq. Ft.",0,1956,Single Family Residential
28,"35573 Purcell Pl,Fremont, CA 94536","$1,565,000","SEP 24, 2021",3,2,"1,576","5,800 Sq. Ft.",0,1967,Single Family Residential
29,"36166 Coronado Dr,Fremont, CA 94536","$1,250,000","SEP 23, 2021",3,2,"1,148","6,196 Sq. Ft.",0,1958,Single Family Residential
30,"40811 Capa Dr,Fremont, CA 94539","$1,880,000","SEP 23, 2021",4,2,"1,514","7,524 Sq. Ft.",0,1965,Single Family Residential
31,"4258 Blue Ridge St,FREMONT, CA 94536","$1,615,000","SEP 23, 2021",4,2,"1,564","6,600 Sq. Ft.",0,1961,Single Family Residential
32,"4548 Renato Ct,Fremont, CA 94536","$1,360,000","SEP 23, 2021",3,2,"1,240","9,074 Sq. Ft.",0,1965,Single Family Residential
33,"39639 Embarcadero Ter,Fremont, CA 94538","$945,000","SEP 23, 2021",3,2.5,"1,371","2,521 Sq. Ft.",$37,1979,Single Family Residential
34,"45271 Electric Ter #402,Fremont, CA 94539","$1,635,000","SEP 22, 2021",3,2.5,"2,100",0,$554,2020,Condo/Co-op
35,"37284 Spruce Ter,FREMONT, CA 94536","$410,000","SEP 21, 2021",1,1,593,0,$329,1986,Condo/Co-op
36,"40959 Nunes Ct,Fremont, CA 94539","$1,518,000","SEP 21, 2021",3,2,"1,364","4,104 Sq. Ft.",0,1969,Single Family Residential
37,"37396 SEQUOIA Rd,Fremont, CA 94536","$1,240,000","SEP 21, 2021",4,4,"2,047",0,$332,2019,Condo/Co-op
38,"45257 Elk Ct,FREMONT, CA 94539","$2,500,000","SEP 21, 2021",5,3,"2,743","6,400 Sq. Ft.",$85,1989,Single Family Residential
39,"5508 Azalea Way,NEWARK, CA 94560","$1,250,000","SEP 21, 2021",3,3.5,"2,120","2,263 Sq. Ft.",$186,2015,Single Family Residential
40,"4304 Jessica Cir,Fremont, CA 94555","$1,475,000","SEP 20, 2021",4,2,"1,380","4,864 Sq. Ft.",0,1980,Single Family Residential
41,"3538 Surry Pl,Fremont, CA 94536","$1,501,500","SEP 20, 2021",3,2,"1,420","5,512 Sq. Ft.",0,1972,Single Family Residential
42,"46900 Shale Cmn #136,Fremont, CA 94539","$710,000","SEP 17, 2021",2,2,936,0,$310,1987,Condo/Co-op
43,"4457 Bush Cir,Fremont, CA 94538","$1,570,000","SEP 17, 2021",3,2.5,"1,717","6,002 Sq. Ft.",0,1988,Single Family Residential
44,"34486 Benedick Ln,Fremont, CA 94555","$1,230,000","SEP 17, 2021",4,2.5,"1,647","3,083 Sq. Ft.",0,1986,Single Family Residential
