Period,LosAngeles,NewYorkCity,SanFrancisco,Seattle
2014/1/15,485000,226000,926000,450000
2014/2/15,510000,219000,1020000,474000
2014/3/15,531000,205000,988000,466000
2014/4/15,540000,204000,1090000,475000
2014/5/15,568000,204000,1100000,497000
2014/6/15,570000,223000,1155000,519000
2014/7/15,575000,227000,1093000,549000
2014/8/15,585000,230000,978000,488000
2014/9/15,570000,223000,1021000,506000
2014/10/15,576000,212000,1150000,522000
2014/11/15,575000,222000,1127000,495000
2014/12/15,550000,213000,1065000,500000
2015/1/15,550000,225000,978000,509000
2015/2/15,580000,219000,1133000,528000
2015/3/15,565000,211000,1248000,524000
2015/4/15,620000,213000,1325000,547000
2015/5/15,586000,217000,1400000,562000
2015/6/15,605000,224000,1300000,569000
2015/7/15,630000,232000,1280000,565000
2015/8/15,631000,241000,1226000,575000
2015/9/15,590000,225000,1143000,565000
2015/10/15,599000,216000,1250000,555000
2015/11/15,610000,220000,1250000,577000
2015/12/15,619000,225000,1200000,600000
2016/1/15,614000,220000,1160000,573000
2016/2/15,620000,221000,1373000,640000
2016/3/15,640000,217000,1350000,648000
2016/4/15,650000,210000,1380000,631000
2016/5/15,668000,281000,1350000,636000
2016/6/15,664000,305000,1310000,675000
2016/7/15,675000,304000,1300000,655000
2016/8/15,675000,309000,1298000,625000
2016/9/15,668000,295000,1255000,640000
2016/10/15,660000,273000,1400000,620000
2016/11/15,680000,283000,1350000,606000
2016/12/15,644000,284000,1300000,635000
2017/1/15,680000,309000,1250000,602000
2017/2/15,675000,288000,1273000,680000
2017/3/15,695000,296000,1328000,705000
2017/4/15,715000,282000,1408000,727000
2017/5/15,730000,294000,1501000,750000
2017/6/15,735000,318000,1450000,769000
2017/7/15,760000,327000,1400000,750000
2017/8/15,725000,327000,1380000,719000
2017/9/15,722000,306000,1350000,710000
2017/10/15,710000,301000,1568000,730000
2017/11/15,710000,306000,1485000,745000
2017/12/15,715000,307000,1450000,715000
2018/1/15,680000,328000,1330000,753000
2018/2/15,755000,318000,1700000,761000
2018/3/15,755000,315000,1665000,807000
2018/4/15,775000,310000,1646000,820000
2018/5/15,767000,317000,1601000,827000
2018/6/15,785000,340000,1623000,800000
2018/7/15,760000,346000,1626000,805000
2018/8/15,794000,337000,1520000,750000
2018/9/15,750000,318000,1500000,765000
2018/10/15,750000,309000,1600000,760000
2018/11/15,765000,322000,1421000,750000
2018/12/15,740000,316000,1500000,718000
2019/1/15,740000,328000,1370000,712000
2019/2/15,730000,325000,1500000,731000
2019/3/15,792000,316000,1650000,760000
2019/4/15,793000,329000,1650000,803000
2019/5/15,785000,324000,1650000,800000
2019/6/15,826000,368000,1720000,792000
2019/7/15,820000,347000,1600000,761000
2019/8/15,809000,343000,1590000,765000
2019/9/15,800000,330000,1529000,770000
2019/10/15,815000,333000,1638000,782000
2019/11/15,830000,319000,1588000,785000
2019/12/15,811000,335000,1420000,744000
2020/1/15,825000,346000,1460000,759000
2020/2/15,818000,340000,1610000,759000
2020/3/15,863000,332000,1650000,870000
2020/4/15,800000,325000,1675000,858000
2020/5/15,815000,343000,1621000,800000
2020/6/15,831000,354000,1808000,850000
2020/7/15,930000,357000,1658000,850000
2020/8/15,955000,368000,1656000,885000
2020/9/15,1000000,377000,1650000,835000
2020/10/15,985000,380000,1625000,833000
2020/11/15,950000,383000,1650000,841000
2020/12/15,955000,394000,1580000,820000
2021/1/15,950000,395000,1532000,838000
2021/2/15,979000,393000,1553000,860000
2021/3/15,1083000,406000,1725000,924000
2021/4/15,1075000,415000,1775000,951000
2021/5/15,1075000,420000,1835000,1000000
2021/6/15,1169000,443000,1930000,971000
2021/7/15,1117000,439000,1850000,968000
2021/8/15,1100000,451000,1850000,950000
