Period,LosAngeles,NewYorkCity,SanFrancisco,Seattle
2014/1/15,360000 ,202000 ,1128000 ,401000 
2014/2/15,374000 ,140000 ,973000 ,400000 
2014/3/15,370000 ,154000 ,1300000 ,395000 
2014/4/15,390000 ,142000 ,1147000 ,425000 
2014/5/15,408000 ,145000 ,1275000 ,385000 
2014/6/15,395000 ,146000 ,1785000 ,435000 
2014/7/15,382000 ,180000 ,1195000 ,449000 
2014/8/15,407000 ,151000 ,1150000 ,420000 
2014/9/15,380000 ,144000 ,999000 ,460000 
2014/10/15,405000 ,162000 ,1350000 ,445000 
2014/11/15,386000 ,177000 ,1020000 ,429000 
2014/12/15,395000 ,136000 ,1318000 ,439000 
2015/1/15,365000 ,171000 ,820000 ,459000 
2015/2/15,417000 ,119000 ,1463000 ,425000 
2015/3/15,429000 ,147000 ,1321000 ,459000 
2015/4/15,390000 ,180000 ,905000 ,487000 
2015/5/15,410000 ,231000 ,1357000 ,450000 
2015/6/15,412000 ,205000 ,1295000 ,515000 
2015/7/15,438000 ,235000 ,843000 ,525000 
2015/8/15,445000 ,262000 ,1245000 ,530000 
2015/9/15,412000 ,245000 ,1180000 ,492000 
2015/10/15,456000 ,251000 ,1259000 ,460000 
2015/11/15,435000 ,229000 ,1388000 ,560000 
2015/12/15,435000 ,241000 ,1356000 ,552000 
2016/1/15,417000 ,254000 ,778000 ,625000 
2016/2/15,431000 ,239000 ,1250000 ,585000 
2016/3/15,437000 ,244000 ,1285000 ,550000 
2016/4/15,447000 ,244000 ,1305000 ,563000 
2016/5/15,423000 ,352000 ,1375000 ,550000 
2016/6/15,452000 ,388000 ,1300000 ,537000 
2016/7/15,448000 ,415000 ,1050000 ,535000 
2016/8/15,455000 ,460000 ,1295000 ,560000 
2016/9/15,422000 ,442000 ,1637000 ,560000 
2016/10/15,431000 ,396000 ,1495000 ,550000 
2016/11/15,440000 ,398000 ,962000 ,581000 
2016/12/15,443000 ,443000 ,1382000 ,618000 
2017/1/15,480000 ,455000 ,1130000 ,663000 
2017/2/15,446000 ,538000 ,2453000 ,645000 
2017/3/15,476000 ,454000 ,1250000 ,637000 
2017/4/15,479000 ,523000 ,1284000 ,650000 
2017/5/15,500000 ,362000 ,1435000 ,650000 
2017/6/15,515000 ,421000 ,1298000 ,665000 
2017/7/15,508000 ,356000 ,1450000 ,700000 
2017/8/15,461000 ,555000 ,1235000 ,700000 
2017/9/15,469000 ,404000 ,1205000 ,715000 
2017/10/15,500000 ,411000 ,1660000 ,675000 
2017/11/15,477000 ,440000 ,1325000 ,685000 
2017/12/15,520000 ,449000 ,1313000 ,688000 
2018/1/15,485000 ,453000 ,1092000 ,701000 
2018/2/15,448000 ,473000 ,1138000 ,715000 
2018/3/15,525000 ,427000 ,1310000 ,753000 
2018/4/15,520000 ,367000 ,1525000 ,760000 
2018/5/15,510000 ,373000 ,1533000 ,743000 
2018/6/15,533000 ,493000 ,1285000 ,760000 
2018/7/15,525000 ,433000 ,1370000 ,732000 
2018/8/15,515000 ,401000 ,1425000 ,683000 
2018/9/15,535000 ,399000 ,1485000 ,700000 
2018/10/15,533000 ,420000 ,1250000 ,711000 
2018/11/15,468000 ,508000 ,1275000 ,704000 
2018/12/15,492000 ,452000 ,1298000 ,723000 
2019/1/15,500000 ,478000 ,833000 ,669000 
2019/2/15,494000 ,541000 ,1385000 ,683000 
2019/3/15,513000 ,418000 ,1207000 ,705000 
2019/4/15,513000 ,361000 ,1290000 ,668000 
2019/5/15,506000 ,401000 ,1538000 ,710000 
2019/6/15,552000 ,403000 ,1288000 ,711000 
2019/7/15,531000 ,403000 ,1405000 ,698000 
2019/8/15,540000 ,408000 ,1355000 ,670000 
2019/9/15,529000 ,361000 ,1635000 ,682000 
2019/10/15,492000 ,353000 ,1540000 ,686000 
2019/11/15,525000 ,374000 ,1380000 ,625000 
2019/12/15,567000 ,426000 ,1270000 ,640000 
2020/1/15,488000 ,430000 ,2383000 ,690000 
2020/2/15,540000 ,453000 ,1725000 ,690000 
2020/3/15,538000 ,434000 ,1210000 ,680000 
2020/4/15,558000 ,476000 ,2063000 ,660000 
2020/5/15,543000 ,365000 ,1449000 ,645000 
2020/6/15,521000 ,448000 ,1144000 ,701000 
2020/7/15,559000 ,370000 ,1250000 ,689000 
2020/8/15,543000 ,374000 ,1602000 ,690000 
2020/9/15,585000 ,474000 ,1486000 ,710000 
2020/10/15,590000 ,397000 ,1050000 ,697000 
2020/11/15,574000 ,452000 ,1570000 ,692000 
2020/12/15,560000 ,433000 ,1244000 ,685000 
2021/1/15,605000 ,566000 ,1450000 ,721000 
2021/2/15,600000 ,706000 ,899000 ,675000 
2021/3/15,665000 ,528000 ,2530000 ,699000 
2021/4/15,640000 ,578000 ,964000 ,727000 
2021/5/15,665000 ,511000 ,1510000 ,729000 
2021/6/15,656000 ,523000 ,1284000 ,725000 
2021/7/15,695000 ,513000 ,917000 ,735000 
2021/8/15,656000 ,758000 ,1215000 ,749000 
